5108670874168396,3,20
5383439216820189,3,21
5432510880280388,3,23
4716150002035,11,78
370212402361573,4,17
4929445520162,3,22
4716553706323,2,13
4716242100961,3,19
379396014190321,3,23
4788456110267,3,12
5514710014984001,2,5
5367986203207895,3,16
345225730753743,2,12
375821401166943,3,8
374895960026186,3,9
344063953577569,2,11
5298400140004294,4,16
5575539026894452,3,14
5104364527968576,3,11
342997517313460,3,12
4532580417358,6,24
4024007164904,3,22
375101381173213,2,12
5438764496860984,2,13
5280313123214238,3,14
4916346993770,2,5
345835083301831,3,21
4556398831237,3,16
4485121139108,2,12
5410234893335776,17,108
5425576721987076,2,14
4200864880564,3,21
4532646553295,3,17
5367527351112097,2,6
379369513501348,4,19
5271773428027034,2,11
5594294144075256,2,9
4024007164821,2,10
4539723074327,3,21
5472514564948295,4,12
5315989625574994,9,44
4916904357111,2,13
344755204750313,2,4
5550952390301476,9,47
5412902709589202,18,89
374431479951308,2,10
370864780063146,2,16
346771156601485,3,15
344368612402384,2,10
378683780825193,4,23
5472431845491286,4,17
4539052423863,2,13
5337405881005783,3,16
340901974306753,4,18
4485110792552,3,23
4485884281360,7,43
346714824831084,3,20
4916033327365,9,30
345278833222421,3,28
5584086001389040,2,7
371964228082366,2,5
376859925182003,10,48
376185899361864,3,19
5282850796160303,2,13
5425008377011233,3,23
346303898915088,2,22
341118026495372,2,13
348420003115129,3,10
4539689800616,4,24
4539574115682,3,12
4929077623482,3,16
5157255868099839,3,16
4539790321114,2,11
341721555892743,4,12
372187974397304,3,18
4485447887901,3,17
340971781229985,3,16
344903542714357,3,19
371084331035605,3,13
4385268658243,3,14
376706573102744,2,22
379788919611957,4,28
4556538375020,4,23
4556977795811,3,16
5232172943181533,3,16
5449540500370880,10,39
5177915726100477,3,11
4556121691585,3,11
5314078612269460,3,14
4190122258960,2,12
346039819207524,4,11
372871895198996,3,9
4556434405178,2,8
5181204931000473,5,27
5263999491303206,3,15
4916473223074,3,23
4070326855540,3,14
379756238066898,3,18
4532766131112,3,13
4556621724308,2,8
4024007194950,5,31
376067517048299,3,19
5150212675690216,2,7
5222555419642115,2,12
5224922718644309,4,23
4929616156036,4,19
4024007158567,2,17
372659361358248,2,25
349017079458075,2,4
4532168467007,4,25
343842641502621,3,11
4539619634937,3,15
4916678515456,3,19
4556830312135,3,14
348441356008695,3,10
4556194300270,2,13
344904958556720,4,21
5131864480712819,3,5
375495252779367,6,33
5100876590614856,2,14
4485975241521,3,16
4532481298493,4,31
5522202322244419,2,9
4532147824963,10,62
370383991594625,3,12
5521379063702473,3,19
5123471527141356,3,17
345805640913683,4,19
5489445496222502,3,7
4485843787531,3,16
5110255971844960,3,9
5561770605454709,3,17
4916337853801,3,19
349425243435194,3,6
5482819773372973,2,18
4556198151018,3,18
4539586157862,2,7
5289547093539493,2,13
375298889321128,3,15
4539590994847,3,10
4024007190479,2,14
341389585771764,11,67
5577049977137917,2,10
379853412439957,3,17
5522390794832173,4,23
4532467071542,2,8
5367379816095560,18,133
5158060736168439,4,22
4539281010135,3,18
5102548036353500,5,36
4716240213733,3,25
4716492758443,3,19
4556580703657,3,11
373460771148363,3,11
373149726319001,3,8
4485113363088,3,10
4716175302410,4,24
5484573394975007,2,7
4485229347454,3,18
4916514799041,5,34
4024007107754,4,21
341903369525897,3,16
344182518893293,4,26
5553632231535576,19,101
4556710026763,3,16
5416400134222149,2,14
4929741853176,3,16
4929139216176,2,13
373462869063769,2,13
342460600125903,2,2
5498351043939904,2,11
4716321638436,3,11
342204649031254,3,18
4916916644761,2,9
347210582302243,4,28
347603700008785,3,22
5323351949072413,3,8
371684254058821,2,13
370951850550670,6,34
379422357689305,3,11
4485039229389,2,12
372068771148753,3,9
4485034677038,3,12
4716903185798,2,14
5300427904461994,3,13
341939329229980,3,18
372553198846832,3,15
374419588585513,3,18
5459984541556114,3,17
5524052503238484,3,15
4929579541851,2,11
5585653814892608,4,12
348931914831612,3,14
378923074151587,4,14
4556590226970,4,15
4556658402463,2,6
4024007117068,3,9
343987397578869,4,20
370485748169559,3,17
4539900453401,3,17
5142034072524967,2,19
4024007130772,4,31
4539235009092,18,126
4238831807005,3,21
375165493416182,3,7
4716400477805,2,6
5227179112864788,3,14
5123924778226607,4,13
4024007199348,2,14
5184110912417213,3,12
373263333731118,3,17
345474866610273,4,28
4532317484796,2,10
4539863416452,3,16
5331044811777025,3,15
348150556041196,3,12
4485153442826,3,19
376877091843174,3,20
343400075249910,4,23
4539401293793,2,8
4539701466313,4,17
377247025990237,3,18
373135128902312,2,11
377007114780315,2,16
5386280697666684,3,16
4539518003788,3,9
5258333515917675,2,15
347271025544452,3,12
4485743205741,3,9
348576204147250,3,20
5411107717614148,3,10
4532223718345,3,19
4929252205113,3,12
349437536585288,4,18
5158333622034829,2,4
5302987159703042,2,11
376026241900902,3,15
370911514723733,3,13
4485680780490,4,14
5309823299148850,4,22
379476659476118,3,8
4532068271582,3,16
5106136944221625,4,21
372489187440818,3,16
4916683141561,3,29
4024007164763,3,25
5180825806279866,3,19
348859294074257,2,10
5391149280813123,4,27
4929210373524,2,20
4929527268672,4,18
